url地址	漏洞类型	漏洞名称	危险等级	内容
http://61.183.86.5/	XFrameOptions	X-Frame-Options Header未配置	Low	http://61.183.86.5/
http://61.183.86.5/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://61.183.86.5/
http://www.hssz.net.cn/templets	HostHeaderAttack	Host头攻击	Low	evilhost692b2a50.com
http://www.zclyzxxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.zclyzxxx.com/
http://ycfzxq.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://ycfzxq.com/
http://www.xyszey.cn/ysfc.asp?Page=2	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://61.183.197.170/	XFrameOptions	X-Frame-Options Header未配置	Low	http://61.183.197.170/
http://mail.hbuas.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://mail.hbuas.edu.cn/
http://mail.hbuas.edu.cn/coremail/XT5/jsp/mail.jsp?func=getWeather	WebApplicationError	Web应用程序错误	Low	HTTP CODE : 500
http://www.zzwxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.zzwxx.com/
http://ids.wtu.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://ids.wtu.edu.cn/
http://www.lib.wust.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.lib.wust.edu.cn/
http://www.lib.wust.edu.cn/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.zyfyey.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.zyfyey.com/
http://www.zyfyey.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.zyfyey.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.zyfyey.com/robots.txt
http://www.hbsszx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.hbsszx.com/
http://www.hbsszx.com/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.hbsszx.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.hbsszx.com/robots.txt
http://xysxzqdqzx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://xysxzqdqzx.com/
http://xysxzqdqzx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://xysxzqdqzx.com/
http://59.172.226.2/	XFrameOptions	X-Frame-Options Header未配置	Low	http://59.172.226.2/
http://www.wh20zx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.wh20zx.com/
http://www.wh20zx.com/	LoginWithHttp	基于HTTP连接的登录请求	Low	http://www.wh20zx.com/
http://www.wh20zx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.wh20zx.com/
http://www.wh20zx.com/	CookieWithoutHttponly	会话Cookie中缺少HttpOnly属性	Low	http://www.wh20zx.com/
http://www.hbchuangye.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.hbchuangye.com/
http://www.jzyey.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.jzyey.com/
http://www.jzjdxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.jzjdxx.com/
http://www.hbxyhx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.hbxyhx.com/
http://www.hbxyhx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.hbxyhx.com/
http://www.tmsygz.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.tmsygz.com/
http://www.tmsygz.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.tmsygz.com/
http://www.shynx.org.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.shynx.org.cn/
http://www.shynx.org.cn/	WebDAVEnable	允许WebDAV	Low	Web Server
http://www.shynx.org.cn/	RobotsInfo	Robots.txt站点文件	Low	http://www.shynx.org.cn/robots.txt
http://xy2z.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://xy2z.cn/
http://uia.whxy.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://uia.whxy.edu.cn/
http://uia.whxy.edu.cn/	WebVersion	错误页面Web应用服务器版本泄露	Low	Server: nginx/1.4.1
http://61.183.219.157/	XFrameOptions	X-Frame-Options Header未配置	Low	http://61.183.219.157/
http://www.slkids.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.slkids.cn/
http://www.whcmxx.com/	XFrameOptions	X-Frame-Options Header未配置	Low	http://www.whcmxx.com/
http://www.whcmxx.com/	CookieWithoutSecure	会话Cookie中缺少secure属性	Low	http://www.whcmxx.com/
http://www.whcmxx.com/	CookieWithoutHttponly	会话Cookie中缺少HttpOnly属性	Low	http://www.whcmxx.com/
http://www.whcmxx.com/	RobotsInfo	Robots.txt站点文件	Low	http://www.whcmxx.com/robots.txt
http://www.whcmxx.com/images/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/images/
http://www.whcmxx.com/images/v8/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/images/v8/
http://www.whcmxx.com/generic/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/generic/
http://www.whcmxx.com/system/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/system/
http://www.whcmxx.com/images/dd/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/images/dd/
http://www.whcmxx.com/images/sj/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/images/sj/
http://www.whcmxx.com/cache/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/cache/
http://www.whcmxx.com/template/	DirectoryList	目录浏览	Low	http://www.whcmxx.com/template/
http://mail.whsu.edu.cn/	XFrameOptions	X-Frame-Options Header未配置	Low	http://mail.whsu.edu.cn/
http://mail.whsu.edu.cn/	RobotsInfo	Robots.txt站点文件	Low	http://mail.whsu.edu.cn/robots.txt
http://opac.hbmy.edu.cn/	LoginWithHttp	基于HTTP连接的登录请求	Low	http://opac.hbmy.edu.cn/
http://opac.hbmy.edu.cn/	WebDAVEnable	允许WebDAV	Low	Web Server
http://tsg.hbmy.edu.cn/	LoginWithHttp	基于HTTP连接的登录请求	Low	http://tsg.hbmy.edu.cn/
